"Benchmark","Mode","Threads","Samples","Score","Score Error (99,9%)","Unit","Param: cutoff","Param: parallelism","Param: size"
"org.sample.MergeSortBenchmark.sequentialMergeSort","avgt",1,20,"146,095285","23,276290","ms/op",0,,1000000
"org.sample.MergeSortBenchmark.sequentialMergeSort","avgt",1,20,"0,036355","0,007110","ms/op",256,,1000
"org.sample.MergeSortBenchmark.sequentialMergeSort","avgt",1,20,"0,948795","0,211051","ms/op",256,,10000
"org.sample.MergeSortBenchmark.sequentialMergeSort","avgt",1,20,"11,631383","2,695772","ms/op",256,,100000
"org.sample.MergeSortBenchmark.sequentialMergeSort","avgt",1,20,"152,269409","25,178904","ms/op",256,,1000000
"org.sample.MergeSortBenchmark.sequentialMergeSort","avgt",1,20,"0,037208","0,008014","ms/op",512,,1000
"org.sample.MergeSortBenchmark.sequentialMergeSort","avgt",1,20,"0,932132","0,205718","ms/op",512,,10000
"org.sample.MergeSortBenchmark.sequentialMergeSort","avgt",1,20,"12,015059","2,773319","ms/op",512,,100000
"org.sample.MergeSortBenchmark.sequentialMergeSort","avgt",1,20,"141,941845","20,469358","ms/op",512,,1000000
"org.sample.MergeSortBenchmark.sequentialMergeSort","avgt",1,20,"0,035258","0,006678","ms/op",1024,,1000
"org.sample.MergeSortBenchmark.sequentialMergeSort","avgt",1,20,"0,955531","0,237744","ms/op",1024,,10000
"org.sample.MergeSortBenchmark.sequentialMergeSort","avgt",1,20,"12,264396","2,831440","ms/op",1024,,100000
"org.sample.MergeSortBenchmark.sequentialMergeSort","avgt",1,20,"145,505877","22,615136","ms/op",1024,,1000000
"org.sample.MergeSortBenchmark.sequentialMergeSort","avgt",1,20,"0,038580","0,008922","ms/op",2048,,1000
"org.sample.MergeSortBenchmark.sequentialMergeSort","avgt",1,20,"0,933786","0,202856","ms/op",2048,,10000
"org.sample.MergeSortBenchmark.sequentialMergeSort","avgt",1,20,"11,791666","2,627607","ms/op",2048,,100000
"org.sample.MergeSortBenchmark.sequentialMergeSort","avgt",1,20,"152,757870","26,265003","ms/op",2048,,1000000
"org.sample.MergeSortBenchmark.sequentialMergeSort","avgt",1,20,"0,037304","0,009109","ms/op",4096,,1000
"org.sample.MergeSortBenchmark.sequentialMergeSort","avgt",1,20,"0,930951","0,211424","ms/op",4096,,10000
"org.sample.MergeSortBenchmark.sequentialMergeSort","avgt",1,20,"8,770622","0,339635","ms/op",4096,,100000
"org.sample.MergeSortBenchmark.sequentialMergeSort","avgt",1,20,"145,556412","25,651376","ms/op",4096,,1000000
